date,time,datetime,id,minutes
6/1/15,6:00 am,2015-06-01T06:00:00,2034,18
6/1/15,7:20 am,2015-06-01T07:20:00,1059,34
6/1/15,7:20 am,2015-06-01T07:20:00,1059,34
6/1/15,8:40 am,2015-06-01T08:40:00,010,15
6/1/15,10:39 am,2015-06-01T10:39:00,2012,20
6/1/15,1:15 pm,2015-06-01T13:15:00,1135,4
6/1/15,5:23 pm,2015-06-01T17:23:00,1128,20
6/1/15,5:56 pm,2015-06-01T17:56:00,218,6
6/2/15,12:00 am,2015-06-02T00:00:00,1636,0
6/2/15,3:50 am,2015-06-02T03:50:00,2021,95
6/2/15,3:50 am,2015-06-02T03:50:00,2021,95
6/2/15,5:22 am,2015-06-02T05:22:00,1642,11
6/2/15,7:54 am,2015-06-02T07:54:00,1128,4
6/2/15,7:40 pm,2015-06-02T19:40:00,1127,6
6/2/15,7:50 pm,2015-06-02T19:50:00,1808,29
6/2/15,7:50 pm,2015-06-02T19:50:00,1808,29
6/2/15,10:45 pm,2015-06-02T22:45:00,1052,63
6/3/15,12:20 pm,2015-06-03T12:20:00,1060,14
6/3/15,5:55 pm,2015-06-03T17:55:00,1027,7
6/3/15,6:10 pm,2015-06-03T18:10:00,010,10
6/4/15,6:30 am,2015-06-04T06:30:00,1647,3
6/4/15,7:15 am,2015-06-04T07:15:00,625,20
6/4/15,9:20 am,2015-06-04T09:20:00,1116,9
6/4/15,10:50 am,2015-06-04T10:50:00,1116,8
6/4/15,4:20 pm,2015-06-04T16:20:00,1119,17
6/4/15,4:40 pm,2015-06-04T16:40:00,1058,15
6/4/15,9:15 pm,2015-06-04T21:15:00,2013,38
6/4/15,9:49 pm,2015-06-04T21:49:00,842,20
6/5/15,4:56 pm,2015-06-05T16:56:00,2026,16
6/5/15,4:56 pm,2015-06-05T16:56:00,2026,16
6/5/15,8:50 pm,2015-06-05T20:50:00,1705,25
6/7/15,6:10 am,2015-06-07T06:10:00,2025,0
6/7/15,7:00 am,2015-06-07T07:00:00,2025,8
6/7/15,11:34 am,2015-06-07T11:34:00,1527,11
6/8/15,5:50 am,2015-06-08T05:50:00,2031,5
6/8/15,6:35 am,2015-06-08T06:35:00,1707,50
6/8/15,6:55 am,2015-06-08T06:55:00,2025,5
6/8/15,6:55 am,2015-06-08T06:55:00,2025,5
6/8/15,10:10 am,2015-06-08T10:10:00,1013,12
6/8/15,4:45 pm,2015-06-08T16:45:00,1026,3
6/8/15,4:45 pm,2015-06-08T16:45:00,1026,3
6/8/15,8:35 pm,2015-06-08T20:35:00,921,40
6/9/15,6:56 am,2015-06-09T06:56:00,1050,9
6/10/15,6:19 am,2015-06-10T06:19:00,1050,13
6/10/15,6:37 am,2015-06-10T06:37:00,1705,0
6/10/15,9:40 am,2015-06-10T09:40:00,1808,6
6/10/15,9:40 am,2015-06-10T09:40:00,1066,5
6/10/15,1:50 pm,2015-06-10T13:50:00,1521,11
6/10/15,5:55 pm,2015-06-10T17:55:00,629,5
6/10/15,8:17 pm,2015-06-10T20:17:00,1055,2
6/10/15,8:17 pm,2015-06-10T20:17:00,1055,2
6/10/15,8:50 pm,2015-06-10T20:50:00,1026,2
6/11/15,6:55 am,2015-06-11T06:55:00,633,2
6/11/15,7:14 am,2015-06-11T07:14:00,1512,13
6/11/15,4:45 pm,2015-06-11T16:45:00,1026,4
6/11/15,5:22 pm,2015-06-11T17:22:00,1026,9
6/11/15,6:25 pm,2015-06-11T18:25:00,1026,3
6/12/15,5:05 am,2015-06-12T05:05:00,2033,18
6/12/15,7:27 am,2015-06-12T07:27:00,2013,16
6/12/15,9:10 am,2015-06-12T09:10:00,1026,4
6/12/15,1:35 pm,2015-06-12T13:35:00,2017,4
6/12/15,3:45 pm,2015-06-12T15:45:00,2017,7
6/12/15,4:32 pm,2015-06-12T16:32:00,2017,19
6/12/15,4:50 pm,2015-06-12T16:50:00,1026,8
6/12/15,5:10 pm,2015-06-12T17:10:00,2025,9
6/12/15,6:25 pm,2015-06-12T18:25:00,1026,0
6/12/15,8:45 pm,2015-06-12T20:45:00,1026,4
6/12/15,9:02 pm,2015-06-12T21:02:00,1052,5
6/12/15,9:02 pm,2015-06-12T21:02:00,1052,5
6/12/15,10:30 pm,2015-06-12T22:30:00,1632,13
6/13/15,8:35 am,2015-06-13T08:35:00,1070,60
6/13/15,2:56 pm,2015-06-13T14:56:00,1030,8
6/13/15,4:35 pm,2015-06-13T16:35:00,1057,6
6/13/15,8:10 pm,2015-06-13T20:10:00,1065,36
6/14/15,12:30 pm,2015-06-14T12:30:00,1824,8
6/14/15,5:20 pm,2015-06-14T17:20:00,1070,91
6/15/15,5:05 am,2015-06-15T05:05:00,1651,15
6/15/15,5:15 am,2015-06-15T05:15:00,1115,4
6/15/15,5:50 am,2015-06-15T05:50:00,1052,5
6/15/15,6:35 am,2015-06-15T06:35:00,1035,0
6/15/15,6:45 am,2015-06-15T06:45:00,2033,5
6/15/15,7:08 am,2015-06-15T07:08:00,1025,14
6/15/15,7:45 am,2015-06-15T07:45:00,010,12
6/15/15,10:15 am,2015-06-15T10:15:00,1645,5
6/15/15,10:40 am,2015-06-15T10:40:00,1718,15
6/15/15,12:45 pm,2015-06-15T12:45:00,2013,7
6/15/15,12:45 pm,2015-06-15T12:45:00,2013,7
6/16/15,7:11 am,2015-06-16T07:11:00,1059,8
6/16/15,7:15 am,2015-06-16T07:15:00,010,5
6/16/15,8:25 am,2015-06-16T08:25:00,1031,5
6/16/15,8:25 am,2015-06-16T08:25:00,1031,5
6/16/15,9:25 am,2015-06-16T09:25:00,2013,7
6/16/15,4:35 pm,2015-06-16T16:35:00,1632,28
6/16/15,5:23 pm,2015-06-16T17:23:00,1074,73
6/17/15,6:44 am,2015-06-17T06:44:00,1801,11
6/17/15,7:30 am,2015-06-17T07:30:00,1074,65
6/18/15,12:00 am,2015-06-18T00:00:00,1125,7
6/18/15,5:50 am,2015-06-18T05:50:00,1642,7
6/18/15,6:44 am,2015-06-18T06:44:00,1801,14
6/18/15,6:44 am,2015-06-18T06:44:00,1801,30
6/18/15,6:44 am,2015-06-18T06:44:00,1801,7
6/18/15,7:20 am,2015-06-18T07:20:00,1814,2
6/18/15,7:44 am,2015-06-18T07:44:00,1055,8
6/18/15,9:40 am,2015-06-18T09:40:00,1060,4
6/18/15,10:29 am,2015-06-18T10:29:00,2036,7
6/18/15,5:20 pm,2015-06-18T17:20:00,1520,0
6/18/15,5:35 pm,2015-06-18T17:35:00,1646,6
6/18/15,7:20 pm,2015-06-18T19:20:00,010,6
6/19/15,7:15 am,2015-06-19T07:15:00,1809,50
6/19/15,7:15 am,2015-06-19T07:15:00,1052,16
6/19/15,12:20 pm,2015-06-19T12:20:00,2012,17
6/19/15,6:10 pm,2015-06-19T18:10:00,2030,18
6/19/15,6:20 pm,2015-06-19T18:20:00,1074,9
6/20/15,3:35 pm,2015-06-20T15:35:00,1034,8
6/21/15,11:20 am,2015-06-21T11:20:00,1034,3
6/21/15,10:40 pm,2015-06-21T22:40:00,1116,7
6/22/15,5:05 am,2015-06-22T05:05:00,2033,13
6/22/15,5:22 am,2015-06-22T05:22:00,1819,4
6/22/15,5:22 am,2015-06-22T05:22:00,1127,3
6/22/15,5:58 am,2015-06-22T05:58:00,1034,5
6/22/15,6:30 am,2015-06-22T06:30:00,1063,9
6/22/15,7:15 am,2015-06-22T07:15:00,1069,64
6/22/15,7:22 am,2015-06-22T07:22:00,1122,7
6/22/15,10:35 am,2015-06-22T10:35:00,1074,32
6/22/15,10:45 am,2015-06-22T10:45:00,1129,6
6/22/15,3:55 pm,2015-06-22T15:55:00,1816,65
6/22/15,5:05 pm,2015-06-22T17:05:00,1120,27
6/23/15,6:30 am,2015-06-23T06:30:00,1069,48
